"questions","answers","A","B","C","D","full_sentence"
"All flights to and from London Gatwick Airport have been suspended _____ low visibility caused by fog.","on account of","in spite of","with regard to","on account of","regardless of","All flights to and from London Gatwick Airport have been suspended on account of low visibility caused by fog."
"Passengers on international flights should arrive at least two hours _____ the scheduled departure time.","before","earlier","before","prior","until","Passengers on international flights should arrive at least two hours before the scheduled departure time."
"Ms. Fields was fired for repeated _____.","tardiness","eagerness","awareness","tardiness","readiness","Ms. Fields was fired for repeated tardiness."
"Neither the King Hotel _____ the Imperial Hotel had any vacancies.","nor","but","nor","yet","and","Neither the King Hotel nor the Imperial Hotel had any vacancies."
"The results of the research suggest that exercise is an effective way of _____ stress.","reducing","reducing","reduced","reduction","reduces","The results of the research suggest that exercise is an effective way of reducing stress."
"Mr. Ford is an _____ collector of art and antiques.","enthusiastic","extensive","approximate","enthusiastic","essential","Mr. Ford is an enthusiastic collector of art and antiques."
"_____ most of her colleagues, Kumiko can speak English fluently.","Like","Like","Likely","Alike","Likes","Like most of her colleagues, Kumiko can speak English fluently."
"The manager _____ everyone go home an hour early on Friday afternoon.","let","got","permitted","allowed","let","The manager let everyone go home an hour early on Friday afternoon."
"Dr. Kahn will travel to the medical conference in Tokyo by _____.","himself","him","his own","himself","he","Dr. Kahn will travel to the medical conference in Tokyo by himself."
"Experts predict that the market for electric vehicles will grow by _____ of 40% next year.","upward","above","upward","greater","over","Experts predict that the market for electric vehicles will grow by upward of 40% next year."
"The price of airline tickets has gone up _____ a rise in the price of oil.","because of","because","in spite of","because of","notwithstanding","The price of airline tickets has gone up because of a rise in the price of oil."
"The meeting _____ been rescheduled for 5 o'clock next Thursday.","has","will","has","would","was","The meeting has been rescheduled for 5 o'clock next Thursday."
"Please submit your application by April 30th _____ the latest.","at","at","on","in","by","Please submit your application by April 30th at the latest."
"Greenstar Motors _____ a 10% increase in first-quarter net profit.","announced","appealed","released","announced","expressed","Greenstar Motors announced a 10% increase in first-quarter net profit."
"The construction plans are facing strong _____ from local residents.","opposition","opposition","oppose","opposing","opposed","The construction plans are facing strong opposition from local residents."
